id,gen,sp,ssp,en,lat,lng,alt,q,type,rec,rmk,bird-seen
429767,Dendrocygna,bicolor,,Fulvous Whistling Duck,12.9011,80.2199,0,A,flight call,Sreekumar Chirukandoth,Call of a single bird flying in to join a small flock in grass,yes
369151,Dendrocygna,javanica,,Lesser Whistling Duck,11.63,92.67,,A,call,Peter Boesman,,unknown
369150,Dendrocygna,javanica,,Lesser Whistling Duck,11.63,92.67,,A,call,Peter Boesman,,unknown
178554,Dendrocygna,javanica,,Lesser Whistling Duck,15.5966,73.8729,20,A,flight call,Eveny Luis,,yes
472687,Dendrocygna,javanica,,Lesser Whistling Duck,27.1593,77.5232,,B,Call,Peter Boesman,Calls of a small group,unknown
472686,Dendrocygna,javanica,,Lesser Whistling Duck,27.1593,77.5232,,B,Call,Peter Boesman,Calls of a small group,unknown
425093,Dendrocygna,javanica,,Lesser Whistling Duck,9.3223,76.7047,10,B,song,Sreekumar Chirukandoth,"A flock of ducks seen in the lake. They were taking off, circling and landing repeatedly, all the while whistling.",yes
351852,Dendrocygna,javanica,,Lesser Whistling Duck,27.166,77.5245,180,B,call,Oscar Campbell,"Flock close by track at stork colony, with noisy chicks of latter calling in background.",yes
276848,Dendrocygna,javanica,,Lesser Whistling Duck,10.1691,76.4396,10,B,flight call,Dilip KG,single bird approaching towards the recorder and then flying away and landing; the wingbeat and splashing audible at the end,yes
207096,Dendrocygna,javanica,,Lesser Whistling Duck,15.2961,74.0377,10,B,"call, flight call, song",Mandar Bhagat,"Mixture of Song,call & flight calls in a flock of 100+ birds",yes
95805,Dendrocygna,javanica,,Lesser Whistling Duck,21.576,71.323,10,B,call,vir joshi,,unknown
44829,Dendrocygna,javanica,,Lesser Whistling Duck,15.489,73.929,6,B,call,Sander Bot,Calls from a flock on the lake.,unknown
276849,Dendrocygna,javanica,,Lesser Whistling Duck,10.1691,76.4396,10,C,flight call,Dilip KG,several birds taking off,yes
234153,Dendrocygna,javanica,,Lesser Whistling Duck,20.8935,77.7745,360,D,call,Krishna Khan,Flock of 30 birds seen in flight and landed in front of mine at the bank of waterbody.,yes
212199,Dendrocygna,javanica,,Lesser Whistling Duck,15.489,73.929,0,E,call,Pronoy Baidya,"Was the recording modified significantly? No
Habitat: Wetland",yes
414923,Anser,indicus,,Bar-headed Goose,26.6667,93.3501,90,A,flight call,Sudipto Roy,A few handling noise and clicks were eliminated in processing.,yes
165828,Anser,indicus,,Bar-headed Goose,27.8098,74.4602,300,A,flight call,Frank Lambert,,yes
431197,Anser,indicus,,Bar-headed Goose,24.5933,74.1126,480,B,call,Sreekumar Chirukandoth,A flock of  about 100 birds were seen moving around calling in the pond,yes
431196,Anser,indicus,,Bar-headed Goose,24.5933,74.1126,480,B,call,Sreekumar Chirukandoth,A flock of  about 100 birds were seen moving around calling in the pond,yes
116353,Anser,indicus,,Bar-headed Goose,26.6804,93.5596,90,B,call,Mike Nelson,Large numbers of these geese were seen here. Several birds foraging in the muddy grass then taking flight. img:http://www.flickr.com/photos/madbirder/8271707421/,yes
116352,Anser,indicus,,Bar-headed Goose,26.6804,93.5596,90,B,call,Mike Nelson,Large numbers of these geese were seen here. img:http://www.flickr.com/photos/madbirder/8271707421/,yes
460220,Anser,indicus,,Bar-headed Goose,27.1593,77.5232,170,C,call,Peter Boesman,Calls of a small group in flight.,unknown
460187,Anser,indicus,,Bar-headed Goose,27.1593,77.5232,170,C,call,Peter Boesman,Calls of a small group flying over.,unknown
157293,Anser,indicus,,Bar-headed Goose,21.6408,71.1557,130,D,flight call,vir joshi,rarely  seen our area,yes
116612,Anser,indicus,,Bar-headed Goose,31.1634,75.0027,200,D,call,Saurabh Sawant,,yes
415933,Anser,anser,,Greylag Goose,26.6667,93.3501,90,B,"Wing flaps, flight call, song",Sudipto Roy,One man-made noise could not be avoided,yes
303712,Anser,anser,,Greylag Goose,27.1545,77.5232,180,B,flight call,Yogesh Patel,,yes
149547,Anser,anser,rubrirostris,Greylag Goose,28.464,76.893,220,B,flight call,Frank Lambert,"[flying over and identified as Bar-headed Goose by others, but I think this was a mistake - though I did not look up at the birds myself]",no
116645,Anser,anser,rubrirostris,Greylag Goose,26.6804,93.5596,70,B,call,Mike Nelson,Large groups of these seen out on the beel,yes
116644,Anser,anser,rubrirostris,Greylag Goose,26.6804,93.5596,70,B,call,Mike Nelson,Large groups of these seen out on the beel.,yes
116643,Anser,anser,rubrirostris,Greylag Goose,26.6804,93.5596,70,B,call,Mike Nelson,Large groups of these seen out on the beel,yes
116642,Anser,anser,rubrirostris,Greylag Goose,26.6804,93.5596,70,B,call,Mike Nelson,Large groups of these seen out on the beel,yes
92198,Anser,anser,,Greylag Goose,23.131,71.775,70,B,flight call,vir joshi,,unknown
344304,Anser,anser,,Greylag Goose,23.6888,87.6669,50,C,call,Sagar Adhurya,,yes
169833,Anser,anser,,Greylag Goose,27.1569,77.5237,180,D,alarm call,pradnyavant mane,,no
169832,Anser,anser,,Greylag Goose,27.1569,77.5237,180,D,call,pradnyavant mane,,no
165716,Anser,albifrons,,Greater White-fronted Goose,23.2594,69.5143,130,B,flight call,Frank Lambert,Two flight calls of either Greater White-fronted or Lesser White-fronted Goose. There were four of the former and two adult of the latter flying together. See Discussion for ID,yes
150138,Sarkidiornis,melanotos,,Knob-billed Duck,21.5859,71.317,110,A,"call, female",vir joshi,,yes
355097,Tadorna,tadorna,,Common Shelduck,26.8542,88.5591,150,B,call,Mike Dooher,,yes
205052,Tadorna,ferruginea,,Ruddy Shelduck,15.4779,73.9314,0,A,"call, flight call",Mandar Bhagat,,yes
89902,Tadorna,ferruginea,,Ruddy Shelduck,21.589,71.314,?,A,call,vir joshi,,unknown
473077,Tadorna,ferruginea,,Ruddy Shelduck,27.1593,77.5232,,B,Call,Peter Boesman,Calls of a pair taking off.,unknown
473076,Tadorna,ferruginea,,Ruddy Shelduck,27.1593,77.5232,,B,Call,Peter Boesman,Calls of a pair.,unknown
358059,Tadorna,ferruginea,,Ruddy Shelduck,21.0576,75.8398,190,B,"alarm call, call",Lakshmikant Rajaram Neve,,yes
346334,Tadorna,ferruginea,,Ruddy Shelduck,19.9165,85.4272,10,B,alarm call,Harishchandra Mhatre,,yes
308272,Tadorna,ferruginea,,Ruddy Shelduck,23.2378,69.6671,110,B,call,Mike Nelson,img:https://www.flickr.com/photos/madbirder/24590647576/in/photolist-CxNdqu-DsZuNm-D4bVs7-Dviz2x-D4bUUy-DviyXe-DkJjK3-CWNJfX-Dviyqc-v8S8bi,yes
192190,Tadorna,ferruginea,,Ruddy Shelduck,15.489,73.929,0,B,call,Omkar Dharwadkar,The bird was in the water filled in the paddy fields.,yes
116846,Tadorna,ferruginea,,Ruddy Shelduck,26.9239,92.8812,190,B,call,Mike Nelson,Two birds in the river.,yes
116845,Tadorna,ferruginea,,Ruddy Shelduck,26.6804,93.5596,70,B,call,Mike Nelson,In with some Bar-headed Geese foraging in muddy grass next to the beel.,yes
577361,Tadorna,ferruginea,,Ruddy Shelduck,18.5054,74.0006,550,C,call,Rajgopal Patil,,yes
577358,Tadorna,ferruginea,,Ruddy Shelduck,18.5054,74.0006,550,C,call,Rajgopal Patil,,no
577357,Tadorna,ferruginea,,Ruddy Shelduck,18.5054,74.0006,550,C,call,Rajgopal Patil,,no
358061,Tadorna,ferruginea,,Ruddy Shelduck,21.0596,75.8367,190,C,"alarm call, call",Lakshmikant Rajaram Neve,,unknown
357937,Tadorna,ferruginea,,Ruddy Shelduck,21.0576,75.8398,200,C,call,Lakshmikant Rajaram Neve,,yes
357932,Tadorna,ferruginea,,Ruddy Shelduck,21.0576,75.8398,190,C,"Railway, alarm call, call, flight call, song",Lakshmikant Rajaram Neve,,yes
342043,Tadorna,ferruginea,,Ruddy Shelduck,23.4744,87.3064,60,C,call,Sagar Adhurya,,yes
99857,Tadorna,ferruginea,,Ruddy Shelduck,19.9051,85.4365,0,C,?,Sudipto Roy,Sunny day. Bird clearly visible and photographed.,unknown
29889,Tadorna,ferruginea,,Ruddy Shelduck,,,?,C,Communication,Sharad Apte,Bird comunicate each other during entire winter.,unknown
358063,Tadorna,ferruginea,,Ruddy Shelduck,21.0658,75.8402,200,D,"alarm call, call",Lakshmikant Rajaram Neve,,yes
207100,Nettapus,coromandelianus,,Cotton Pygmy Goose,15.2961,74.0377,10,A,"call, flight call",Mandar Bhagat,,yes
304570,Nettapus,coromandelianus,,Cotton Pygmy Goose,15.3414,73.9419,10,B,"Courtship, flight call",Mandar Bhagat,,yes
547437,Spatula,querquedula,,Garganey,13.1109,77.5953,,A,call,Andrew Spencer,Calls from at least 10 males displaying. Lots of background noise from nearby temples. Archived at the Macaulay Library as ML176200371,yes
460209,Spatula,querquedula,,Garganey,27.1593,77.5232,170,B,call,Peter Boesman,,unknown
473061,Spatula,querquedula,,Garganey,27.1593,77.5232,,C,Call,Peter Boesman,,unknown
364098,Spatula,querquedula,,Garganey,15.2708,74.0193,10,C,flight call,Mandar Bhagat,,yes
89897,Spatula,querquedula,,Garganey,21.578,71.314,200,C,call,vir joshi,,unknown
347603,Spatula,clypeata,,Northern Shoveler,15.4491,73.8935,10,B,"call, wing flapping",Mandar Bhagat,,yes
95806,Spatula,clypeata,,Northern Shoveler,21.576,71.321,?,B,?,vir joshi,,unknown
460200,Spatula,clypeata,,Northern Shoveler,27.1593,77.5232,170,D,call,Peter Boesman,,unknown
116538,Mareca,strepera,strepera,Gadwall,26.6804,93.5596,70,B,call,Mike Nelson,Several birds seen here from the watchtower overlooking the beel.,yes
116536,Mareca,strepera,strepera,Gadwall,26.6804,93.5596,70,B,call,Mike Nelson,Several birds seen here from the watchtower overlooking the beel.,yes
95808,Mareca,strepera,strepera,Gadwall,21.575,71.322,0,C,call,vir joshi,,unknown
116537,Mareca,penelope,,Eurasian Wigeon,26.6804,93.5596,70,B,call,Mike Nelson,First thought to be Gadwall as there were so many of these seen from the watchtower overlooking the bheel that I missed the Wigeon. Corrected by Nathan Pieplow.,yes
89898,Mareca,penelope,,Eurasian Wigeon,21.578,71.314,200,B,call,vir joshi,,unknown
571156,Anas,poecilorhyncha,poecilorhyncha,Indian Spot-billed Duck,18.7221,73.9031,600,A,"adult, call, sex uncertain",Rajgopal Patil,,yes
568941,Anas,poecilorhyncha,,Indian Spot-billed Duck,27.1855,77.5066,180,A,call,Jelle Scharringa,A few birds swimming in large pond.,yes
547552,Anas,poecilorhyncha,,Indian Spot-billed Duck,30.2864,77.9744,,B,call,Andrew Spencer,Archived at the Macaulay Library as ML174930111,yes
547551,Anas,poecilorhyncha,,Indian Spot-billed Duck,30.2864,77.9744,,B,call,Andrew Spencer,Archived at the Macaulay Library as ML174930121,yes
547550,Anas,poecilorhyncha,,Indian Spot-billed Duck,30.2864,77.9744,,B,call,Andrew Spencer,Archived at the Macaulay Library as ML174930131,yes
547549,Anas,poecilorhyncha,,Indian Spot-billed Duck,30.2864,77.9744,,B,call,Andrew Spencer,Archived at the Macaulay Library as ML174930151,yes
547548,Anas,poecilorhyncha,,Indian Spot-billed Duck,30.2864,77.9744,,B,call,Andrew Spencer,Archived at the Macaulay Library as ML174930161,yes
